itemid,itemse,itemex,itemde,itemun,itemnm,itemag,itemda,itemwk,itemgr
"DDp_Nox   ","x"," ",   -999.000    ,"(mg/m2/y)           ","Dry deposition of oxidised N                      ","volume    ","volume    "," ","                              "
"DDp_Nred  ","x"," ",   -999.000    ,"(mg/m2/y)           ","Dry deposition of reduced  N                      ","volume    ","volume    "," ","                              "
"WDp_Nox   ","x"," ",   -999.000    ,"(mg/m2/y)           ","Wet deposition of oxidised N                      ","volume    ","volume    "," ","                              "
"WDp_Nred  ","x"," ",   -999.000    ,"(mg/m2/y)           ","Wet deposition of reduced  N                      ","volume    ","volume    "," ","                              "
"WDp_Rain  ","x"," ",   -999.000    ,"(mm/y)              ","Wet deposition, rainfall                          ","volume    ","volume    "," ","                              "
"ScalDum   ","x"," ",    1.00000    ,"(-)                 ","Scale factor for dry deposition (for backw.comp.) ","volume    ","volume    "," ","                              "
"EF_DDp    ","x"," ",    0.00000    ,"(g/m2/d)            ","dry deposition rate                               ","volume    ","volume    "," ","                              "
"EF_WDp    ","x"," ",    0.00000    ,"(g/m3)              ","wet deposition rate                               ","volume    ","volume    "," ","                              "
"NDepTot   ","x"," ",   -999.000    ,"(g/m2/d)            ","total deposition from input                       ","volume    ","volume    "," ","                              "
"pho_tot   ","x"," ",   -999.000    ,"(g/m2)              ","Global P dist map total P                         ","volume    ","volume    "," ","                              "
"pho_lab   ","x"," ",   -999.000    ,"(g/m2)              ","Global P dist map labile inorganic P              ","volume    ","volume    "," ","                              "
"PDatThick ","x"," ",   0.500000    ,"(m)                 ","Global P dist map layer thickness                 ","volume    ","volume    "," ","                              "
"SoilPoros ","x"," ",   0.400000    ,"(-)                 ","soil porosity                                     ","volume    ","volume    "," ","                              "
"RhoDM     ","x"," ",    2500.00    ,"(kg/m3)             ","soil dry matter density                           ","volume    ","volume    "," ","                              "
"QTopSoil  ","x"," ",   -999.000    ,"(mg/kg)             ","concentration of top soil                         ","volume    ","volume    "," ","                              "
"FracPass  ","x"," ",    0.00000    ,"(-)                 ","fraction to be allocated to passive pool          ","volume    ","volume    "," ","                              "
"nit_layer1","x"," ",   -999.000    ,"(cg/kg)             ","SoilGrids N content 0-5cm                         ","volume    ","volume    "," ","                              "
"nit_layer2","x"," ",   -999.000    ,"(cg/kg)             ","SoilGrids N content 5-15cm                        ","volume    ","volume    "," ","                              "
"nit_layer3","x"," ",    0.00000    ,"(cg/kg)             ","SoilGrids N content 15-30cm                       ","volume    ","volume    "," ","                              "
"fac_layer1","x"," ",   0.500000    ,"(-)                 ","Factor for data     0-5cm                         ","volume    ","volume    "," ","                              "
