outfpr,outffl,outfnm,outfdo
"InitSoi   ","dInitSoi  ",   1," "
"InitSoi   ","dInitSoiP ",   2," "
"EM_GSS    ","dRelAtmDww",   1," "
"EM_GSS    ","dRelAtmSew",   2," "
"EM_GSS    ","dRelAtmPav",   3," "
"EM_GSS    ","dRelAtmUnp",   4," "
"EM_GSS    ","dRelAtmStw",   5," "
"EM_GSS    ","dRelAtmSfw",   6," "
"EM_GSS    ","dRelAtmSoi",   7," "
"EM_GSS    ","dRelA01Dww",   8," "
"EM_GSS    ","dRelA01Sew",   9," "
"EM_GSS    ","dRelA01Pav",  10," "
"EM_GSS    ","dRelA01Unp",  11," "
"EM_GSS    ","dRelA01Stw",  12," "
"EM_GSS    ","dRelA01Sfw",  13," "
"EM_GSS    ","dRelA01Soi",  14," "
"EM_GSS    ","dRelB01Dww",  15," "
"EM_GSS    ","dRelB01Sew",  16," "
"EM_GSS    ","dRelB01Pav",  17," "
"EM_GSS    ","dRelB01Unp",  18," "
"EM_GSS    ","dRelB01Stw",  19," "
"EM_GSS    ","dRelB01Sfw",  20," "
"EM_GSS    ","dRelB01Soi",  21," "
"EM_GSS    ","dRelB02Dww",  22," "
"EM_GSS    ","dRelB02Sew",  23," "
"EM_GSS    ","dRelB02Pav",  24," "
"EM_GSS    ","dRelB02Unp",  25," "
"EM_GSS    ","dRelB02Stw",  26," "
"EM_GSS    ","dRelB02Sfw",  27," "
"EM_GSS    ","dRelB02Soi",  28," "
"EM_GSS    ","dRelB03Dww",  29," "
"EM_GSS    ","dRelB03Sew",  30," "
"EM_GSS    ","dRelB03Pav",  31," "
"EM_GSS    ","dRelB03Unp",  32," "
"EM_GSS    ","dRelB03Stw",  33," "
"EM_GSS    ","dRelB03Sfw",  34," "
"EM_GSS    ","dRelB03Soi",  35," "
"EM_GSS    ","dRelB04Dww",  36," "
"EM_GSS    ","dRelB04Sew",  37," "
"EM_GSS    ","dRelB04Pav",  38," "
"EM_GSS    ","dRelB04Unp",  39," "
"EM_GSS    ","dRelB04Stw",  40," "
"EM_GSS    ","dRelB04Sfw",  41," "
"EM_GSS    ","dRelB04Soi",  42," "
"EM_GSS    ","dRelB05Dww",  43," "
"EM_GSS    ","dRelB05Sew",  44," "
"EM_GSS    ","dRelB05Pav",  45," "
"EM_GSS    ","dRelB05Unp",  46," "
"EM_GSS    ","dRelB05Stw",  47," "
"EM_GSS    ","dRelB05Sfw",  48," "
"EM_GSS    ","dRelB05Soi",  49," "
