stocfl,stocsu,stocsc
"dInitSoi  ","Soi       ",   1.00000
"dInitSoiP ","SoilPass  ",   1.00000
"dRelAtmDww","Dww       ",   1.00000
"dRelAtmSew","Sew       ",   1.00000
"dRelAtmPav","Pav       ",   1.00000
"dRelAtmUnp","Unp       ",   1.00000
"dRelAtmStw","Stw       ",   1.00000
"dRelAtmSfw","Sfw       ",   1.00000
"dRelAtmSoi","Soi       ",   1.00000
"dRelA01Dww","Dww       ",   1.00000
"dRelA01Sew","Sew       ",   1.00000
"dRelA01Pav","Pav       ",   1.00000
"dRelA01Unp","Unp       ",   1.00000
"dRelA01Stw","Stw       ",   1.00000
"dRelA01Sfw","Sfw       ",   1.00000
"dRelA01Soi","Soi       ",   1.00000
"dRelB01Dww","Dww       ",   1.00000
"dRelB01Sew","Sew       ",   1.00000
"dRelB01Pav","Pav       ",   1.00000
"dRelB01Unp","Unp       ",   1.00000
"dRelB01Stw","Stw       ",   1.00000
"dRelB01Sfw","Sfw       ",   1.00000
"dRelB01Soi","Soi       ",   1.00000
"dRelB02Dww","Dww       ",   1.00000
"dRelB02Sew","Sew       ",   1.00000
"dRelB02Pav","Pav       ",   1.00000
"dRelB02Unp","Unp       ",   1.00000
"dRelB02Stw","Stw       ",   1.00000
"dRelB02Sfw","Sfw       ",   1.00000
"dRelB02Soi","Soi       ",   1.00000
"dRelB03Dww","Dww       ",   1.00000
"dRelB03Sew","Sew       ",   1.00000
"dRelB03Pav","Pav       ",   1.00000
"dRelB03Unp","Unp       ",   1.00000
"dRelB03Stw","Stw       ",   1.00000
"dRelB03Sfw","Sfw       ",   1.00000
"dRelB03Soi","Soi       ",   1.00000
"dRelB04Dww","Dww       ",   1.00000
"dRelB04Sew","Sew       ",   1.00000
"dRelB04Pav","Pav       ",   1.00000
"dRelB04Unp","Unp       ",   1.00000
"dRelB04Stw","Stw       ",   1.00000
"dRelB04Sfw","Sfw       ",   1.00000
"dRelB04Soi","Soi       ",   1.00000
"dRelB05Dww","Dww       ",   1.00000
"dRelB05Sew","Sew       ",   1.00000
"dRelB05Pav","Pav       ",   1.00000
"dRelB05Unp","Unp       ",   1.00000
"dRelB05Stw","Stw       ",   1.00000
"dRelB05Sfw","Sfw       ",   1.00000
"dRelB05Soi","Soi       ",   1.00000
"dRelB06Dww","Dww       ",   1.00000
"dRelB06Sew","Sew       ",   1.00000
"dRelB06Pav","Pav       ",   1.00000
"dRelB06Unp","Unp       ",   1.00000
"dRelB06Stw","Stw       ",   1.00000
"dRelB06Sfw","Sfw       ",   1.00000
"dRelB06Soi","Soi       ",   1.00000
"dRelB07Dww","Dww       ",   1.00000
"dRelB07Sew","Sew       ",   1.00000
"dRelB07Pav","Pav       ",   1.00000
"dRelB07Unp","Unp       ",   1.00000
"dRelB07Stw","Stw       ",   1.00000
"dRelB07Sfw","Sfw       ",   1.00000
"dRelB07Soi","Soi       ",   1.00000
"dRelB08Dww","Dww       ",   1.00000
"dRelB08Sew","Sew       ",   1.00000
"dRelB08Pav","Pav       ",   1.00000
"dRelB08Unp","Unp       ",   1.00000
"dRelB08Stw","Stw       ",   1.00000
"dRelB08Sfw","Sfw       ",   1.00000
"dRelB08Soi","Soi       ",   1.00000
"dRelB09Dww","Dww       ",   1.00000
"dRelB09Sew","Sew       ",   1.00000
"dRelB09Pav","Pav       ",   1.00000
"dRelB09Unp","Unp       ",   1.00000
"dRelB09Stw","Stw       ",   1.00000
"dRelB09Sfw","Sfw       ",   1.00000
"dRelB09Soi","Soi       ",   1.00000
"dRelB10Dww","Dww       ",   1.00000
"dRelB10Sew","Sew       ",   1.00000
"dRelB10Pav","Pav       ",   1.00000
"dRelB10Unp","Unp       ",   1.00000
"dRelB10Stw","Stw       ",   1.00000
"dRelB10Sfw","Sfw       ",   1.00000
"dRelB10Soi","Soi       ",   1.00000
"dRelB11Dww","Dww       ",   1.00000
"dRelB11Sew","Sew       ",   1.00000
"dRelB11Pav","Pav       ",   1.00000
"dRelB11Unp","Unp       ",   1.00000
"dRelB11Stw","Stw       ",   1.00000
"dRelB11Sfw","Sfw       ",   1.00000
"dRelB11Soi","Soi       ",   1.00000
"dRelB12Dww","Dww       ",   1.00000
"dRelB12Sew","Sew       ",   1.00000
"dRelB12Pav","Pav       ",   1.00000
"dRelB12Unp","Unp       ",   1.00000
"dRelB12Stw","Stw       ",   1.00000
"dRelB12Sfw","Sfw       ",   1.00000
"dRelB12Soi","Soi       ",   1.00000
"dpav2sew  ","Pav       ",  -1.00000
"dpav2sew  ","Sew       ",   1.00000
"dpav2stw  ","Pav       ",  -1.00000
"dpav2stw  ","Stw       ",   1.00000
"dpav2sfw  ","Pav       ",  -1.00000
"dpav2sfw  ","Sfw       ",   1.00000
"dpav2soi  ","Pav       ",  -1.00000
"dpav2soi  ","Soi       ",   1.00000
"dpav2dec  ","Pav       ",  -1.00000
"dunp2sfwer","Unp       ",  -1.00000
"dunp2sfwer","Sfw       ",   1.00000
"dunp2sfwro","Unp       ",  -1.00000
"dunp2sfwro","Sfw       ",   1.00000
"dunp2soiin","Unp       ",  -1.00000
"dunp2soiin","Soi       ",   1.00000
"dunp2soibu","Unp       ",  -1.00000
"dunp2soibu","Soi       ",   1.00000
"dunp2dec  ","Unp       ",  -1.00000
"dsew2sfwl ","Sew       ",  -1.00000
"dsew2sfwl ","Sfw       ",   1.00000
