inpupr,inpuit,inpunm,inpude,inpudo,inpusx
"EMEP_Nit  ","DDp_Nox   ",   1,"N","x",1
"EMEP_Nit  ","DDp_Nred  ",   2,"N","x",1
"EMEP_Nit  ","WDp_Nox   ",   3,"N","x",1
"EMEP_Nit  ","WDp_Nred  ",   4,"N","x",1
"EMEP_Nit  ","WDp_Rain  ",   5,"N","x",1
"EMEP_Nit  ","ScalDum   ",   6,"Y"," ",1
"Soil_Pho  ","pho_tot   ",   1,"N","x",1
"Soil_Pho  ","pho_lab   ",   2,"N","x",1
"Soil_Pho  ","PDatThick ",   3,"Y","x",1
"Soil_Pho  ","SoilPoros ",   4,"Y","x",1
"Soil_Pho  ","RhoDM     ",   5,"Y","x",1
"Soil_Nit  ","nit_layer1",   1,"N","x",1
"Soil_Nit  ","nit_layer2",   2,"N","x",1
"Soil_Nit  ","nit_layer3",   3,"Y","x",1
"Soil_Nit  ","fac_layer1",   4,"Y","x",1
"Soil_Nit  ","fac_layer2",   5,"Y","x",1
"Soil_Nit  ","fac_layer3",   6,"Y","x",1
"InitSoi   ","DELT      ",   1,"N","x",1
"InitSoi   ","fUnpaved  ",   2,"N","x",1
"InitSoi   ","SoilThick ",   3,"Y","x",1
"InitSoi   ","SoilPoros ",   4,"Y","x",1
"InitSoi   ","RhoDM     ",   5,"Y","x",1
"InitSoi   ","QTopSoil  ",   6,"N","x",1
"InitSoi   ","TotArea   ",   7,"N","x",1
"InitSoi   ","FracPass  ",   8,"Y","x",1
"InitSoi   ","Soi       ",   9,"N","x",1
"InitSoi   ","SoilPass  ",  10,"N","x",1
"SetFate   ","DecPav20  ",   1,"N","x",1
"SetFate   ","DecUnp20  ",   2,"N","x",1
"SetFate   ","DecSoi20  ",   3,"Y","x",1
"SetFate   ","KdUnpa20  ",   4,"N","x",1
"SetFate   ","KdSoi20   ",   5,"N","x",1
"SetFate   ","DecPavThet",   6,"Y","x",1
"SetFate   ","DecUnpThet",   7,"Y","x",1
"SetFate   ","DecSoiThet",   8,"Y","x",1
"SetFate   ","KdUnpaThet",   9,"Y","x",1
"SetFate   ","KdSoiThet ",  10,"Y","x",1
"SetFate   ","Tempair   ",  11,"Y","x",1
"SetSoiKd  ","SoilPoros ",   1,"Y","x",1
"SetSoiKd  ","RhoDM     ",   2,"Y","x",1
"SetSoiKd  ","SoilOM    ",   3,"Y","x",1
"SetSoiKd  ","SoilKd    ",   4,"O","x",1
"SetSoiKd  ","SoilKoc   ",   5,"O","x",1
"EM_GSS    ","nsrca     ",   1,"Y","x",1
"EM_GSS    ","nsrcb     ",   2,"Y","x",1
"EM_GSS    ","nreceptor ",   3,"Y","x",1
"EM_GSS    ","DELT      ",   4,"N","x",1
"EM_GSS    ","ITIME     ",   5,"N","x",1
"EM_GSS    ","TotArea   ",   6,"N","x",1
"EM_GSS    ","fPaved    ",   7,"N","x",1
"EM_GSS    ","fUnpaved  ",   8,"N","x",1
"EM_GSS    ","fOpenWater",   9,"N","x",1
"EM_GSS    ","Rainfall  ",  10,"N","x",1
"EM_GSS    ","RunoffPav ",  11,"N","x",1
"EM_GSS    ","RunoffUnp ",  12,"N","x",1
"EM_GSS    ","Infiltr   ",  13,"N","x",1
"EM_GSS    ","FacErod   ",  14,"Y","x",1
